equation_id,report_section,equation_name,classification,physical_or_numerical_purpose,theory_runtime_label,dependent_variable,differential_states,algebraic_variables,inputs,parameters,units,per_unit_base,sign_convention,reference_frame,current_direction,assumptions,source_author,source_title,edition_year,chapter_section,printed_page,PDF_page_index,source_equation_number,DOI_ISBN_URL,source_notation,project_notation,transformation_derivation,production_function,production_file,test_or_oracle,readiness_status,limitation
"PF-01","4","Per-unit base definitions","SOURCE_VERBATIM","Define impedance and current bases from S_base and V_base so all per-unit quantities are dimensionless.","CASE_INPUT","Z_base, I_base","none","none","S_base, V_base","see source_notation/project_notation","pu","S_base (MVA), V_base (kV LL)","passive sign; injection positive","phase (a) reference","network into bus","balanced three-phase; per-unit on three-phase base","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.2","29","--","Eq 2.7-2.8","--","Z_base=V_base^2/S_base; I_base=S_base/V_base","identical (project uses three-phase S_base, line-line V_base)","source: Z_base=V_base^2/S_base; I_base=S_base/V_base -> project: identical (project uses three-phase S_base, line-line V_base)","pf_prepare_case / base_values","+pfsolver/powerflow_newton_raphson.m (via pf_prepare_case)","test_matpower6_case14","VERIFIED","Line-to-line/three-phase factors implicit in S_base (three-phase) and V_base (LL)."
"PF-02","4","Series branch admittance","SOURCE_VERBATIM","Convert series R+jX branch to admittance for Ybus assembly.","RUNTIME_EQUATION","y_ik","none","none","r_ik, x_ik","see source_notation/project_notation","pu on S_base/V_base","pu","passive","phase reference","network into bus","single-phase equivalent of balanced three-phase; series branch only","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.3","--","--","Eq 2.11","--","y_ik=1/(r_ik+jx_ik)","identical","source: y_ik=1/(r_ik+jx_ik) -> project: identical","build_ybus_from_mpc / network_model","+stability/classical_dae.m, +stability/padiyar_model11_dae.m, +stability/synchronous_emf6_ssa.m","test_matpower6_case14","VERIFIED","Off for zero-impedance lines (case validation rejects them)."
"PF-03","4","Transformer tap/phase-shift contribution","SOURCE_TRANSFORMED","Off-nominal tap and phase shift modify Ybus diagonal/off-diagonal entries.","RUNTIME_EQUATION","Y_ii, Y_ij","none","none","tap, shift, r, x","see source_notation/project_notation","pu","pu","passive","phase reference","network into bus","off-nominal tap; complex tap a=tap*exp(j*shift)","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.3","--","--","Eq 2.13-2.15","--","Y_ii += y/(a*conj(a)); Y_ij -= y/conj(a); Y_ji -= y/a; Y_jj += y","project uses a=tap*exp(1i*deg2rad(shift)); Y(i,i)+=y/(a*conj(a))+1i*b/2; Y(i,j)-=y/conj(a)","source: Y_ii += y/(a*conj(a)); Y_ij -= y/conj(a); Y_ji -= y/a; Y_jj += y -> project: project uses a=tap*exp(1i*deg2rad(shift)); Y(i,i)+=y/(a*conj(a))+1i*b/2; Y(i,j)-=y/conj(a)","build_ybus_from_mpc","+stability/classical_dae.m","test_matpower6_case14","VERIFIED","Phase shift in degrees converted to rad; half-line charging b/2 added to both ends."
"PF-04","4","Shunt and line-charging contributions","SOURCE_VERBATIM","Bus shunt admittance and half-line charging added to Ybus diagonal.","RUNTIME_EQUATION","Y_ii","none","none","G_sh, B_sh, b_half","see source_notation/project_notation","pu","pu","passive","phase reference","network into bus","pi-model branch; shunt at bus","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.3","--","--","Eq 2.12","--","Y_ii += G_sh + jB_sh; Y_ii += j*b/2 (each line end)","Y(i,i)+=ys+1i*bh; Y(b,b)+=BD(b,9)+1i*BD(b,10)","source: Y_ii += G_sh + jB_sh; Y_ii += j*b/2 (each line end) -> project: Y(i,i)+=ys+1i*bh; Y(b,b)+=BD(b,9)+1i*BD(b,10)","build_ybus_from_mpc / network_model","+stability/classical_dae.m, +stability/padiyar_model11_dae.m","test_matpower6_case14","VERIFIED","Shunt columns 9-10 of bus_data; half-line charging column 5 of line_data."
"PF-05","4","Ybus assembly","PROJECT_DERIVED","Assemble full bus admittance matrix from branches, taps, shunts, charging.","RUNTIME_EQUATION","Y_bus","none","none","all branch/shunt data","see source_notation/project_notation","pu","pu","passive; injection positive","phase reference","network into bus","linear, balanced, passive network","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.3","--","--","Eq 2.16","--","Y_ii = sum of branch admittances + shunts; Y_ij = -branch admittance","diagonal accumulates y/(a*conj(a))+shunt+charging; off-diagonal -y/conj(a)","source: Y_ii = sum of branch admittances + shunts; Y_ij = -branch admittance -> project: diagonal accumulates y/(a*conj(a))+shunt+charging; off-diagonal -y/conj(a)","build_ybus_from_mpc","+stability/classical_dae.m","test_matpower6_case14","VERIFIED","Symmetric for non-phase-shifting branches; Hermitian structure preserved."
"PF-06","4","Network current equation","SOURCE_VERBATIM","Relate bus voltages to injected currents via Ybus.","RUNTIME_EQUATION","I","none","V","Y_bus","see source_notation/project_notation","pu","pu","injection positive into bus","phase reference","network into bus","linear network; sinusoidal steady state","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.4","--","--","Eq 2.17","--","I = Y_bus * V","identical (classical_dae solves V=Y\I, i.e. I=Y*V)","source: I = Y_bus * V -> project: identical (classical_dae solves V=Y\I, i.e. I=Y*V)","solve_network_linear / network_residual","+stability/classical_dae.m, +stability/synchronous_emf6_ssa.m","test_matpower6_case14","VERIFIED","Classical: V=(Y+Ygen)\Iinj. EMF6/Padiyar: residual g=Iinj-Y*V=0."
"PF-07","4","Complex power convention","SOURCE_VERBATIM","Define complex power injection at a bus from voltage and current.","RUNTIME_EQUATION","S_i","none","V_i, I_i","none","see source_notation/project_notation","pu on S_base","pu","injection positive; S=P+jQ","phase reference","network into bus","sinusoidal steady state; conjugation gives P+jQ into bus","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.4","--","--","Eq 2.18","--","S_i = V_i * conj(I_i)","identical (Pe(k)=real(V(b)*conj(Ig(k))) in classical_dae.m:145)","source: S_i = V_i * conj(I_i) -> project: identical (Pe(k)=real(V(b)*conj(Ig(k))) in classical_dae.m:145)","powerflow_newton_raphson / electrical_power","+stability/classical_dae.m","test_matpower6_case14","VERIFIED","Generator Pe uses same convention: Pe=real(V*conj(Ig))."
"PF-08","4","Expanded active-power injection","SOURCE_TRANSFORMED","Active power injection at bus i in terms of voltages and Ybus elements.","RUNTIME_EQUATION","P_i","none","V, theta","G, B","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","sinusoidal steady state; Y=G+jB","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.4","--","--","Eq 2.19","--","P_i = sum_k |V_i||V_k|(G_ik cos(theta_ik)+B_ik sin(theta_ik))","identical (pf_calculate_mismatch evaluates P_calc from V,theta,G,B)","source: P_i = sum_k |V_i||V_k|(G_ik cos(theta_ik)+B_ik sin(theta_ik)) -> project: identical (pf_calculate_mismatch evaluates P_calc from V,theta,G,B)","pf_calculate_mismatch","+pfsolver/powerflow_newton_raphson.m:148","test_matpower6_case14","VERIFIED","theta_ik = theta_i - theta_k."
"PF-09","4","Expanded reactive-power injection","SOURCE_TRANSFORMED","Reactive power injection at bus i.","RUNTIME_EQUATION","Q_i","none","V, theta","G, B","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","sinusoidal steady state; Y=G+jB","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.4","--","--","Eq 2.20","--","Q_i = sum_k |V_i||V_k|(G_ik sin(theta_ik)-B_ik cos(theta_ik))","identical (pf_calculate_mismatch evaluates Q_calc)","source: Q_i = sum_k |V_i||V_k|(G_ik sin(theta_ik)-B_ik cos(theta_ik)) -> project: identical (pf_calculate_mismatch evaluates Q_calc)","pf_calculate_mismatch","+pfsolver/powerflow_newton_raphson.m:148","test_matpower6_case14","VERIFIED","Sign of B term negative (capacitive)."
"PF-10","4","Scheduled net injection","PROJECT_DERIVED","Net scheduled injection = generation minus load at a bus.","RUNTIME_EQUATION","P_spec, Q_spec","none","P_gen, P_load, Q_gen, Q_load","none","see source_notation/project_notation","pu","pu","generation positive, load negative","phase reference","network into bus","mixed gen/load at one bus handled by net injection","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.4","--","--","Eq 2.21","--","P_spec=P_gen-P_load; Q_spec=Q_gen-Q_load","identical (pf_prepare_case computes net injection)","source: P_spec=P_gen-P_load; Q_spec=Q_gen-Q_load -> project: identical (pf_prepare_case computes net injection)","pf_prepare_case","+pfsolver/powerflow_newton_raphson.m","test_matpower6_case14","VERIFIED","PV bus with local demand uses net injection; no special bus type needed."
